name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
O01	6.66	54.58	-27.6	5.027	O	R	0	0	0
O02	9.7	53.73	-26.09	5.027	O	R	0	0	0
O04	15.78	52.02	-23.06	5.027	O	R	0	0	0
O05	18.81	51.17	-21.55	5.027	O	R	0	0	0
H01	8.02	56.89	6.56999999999999	5.027	H	R	0	0	0
H02	10.83	56.83	8.65000000000001	5.027	H	R	0	0	0
H07	24.89	56.51	19.07	5.027	H	R	0	0	0
H08	27.7	56.45	21.15	5.027	H	R	0	0	0
H10	33.33	56.32	25.32	5.027	H	R	0	0	0
H11	36.14	56.26	27.4	5.027	H	R	0	0	0
P01	5.22	41.57	32.97	5.027	P	R	0	0	1
P02	8.67	41.84	32.44	5.027	P	R	0	0	1
P06	22.46	42.93	30.33	5.027	P	R	0	0	0
P07	25.91	43.21	29.8	5.027	P	R	0	0	0
P10	36.26	44.03	28.22	5.027	P	R	0	0	0
P11	39.71	44.3	27.69	5.027	P	R	0	0	0
P12	43.16	44.57	27.16	5.027	P	R	0	0	0
Q03	38.36	29.89	-1.77	5.027	Q	R	0	0	1
Q04	41.8	29.24	-1.83	5.027	Q	R	0	0	1
Q06	48.67	27.94	-1.95999999999999	5.027	Q	R	0	0	1
Q07	52.11	27.29	-2.03	5.027	Q	R	0	0	1
Q08	55.55	26.64	-2.09	5.027	Q	R	0	0	0
Q09	58.99	25.98	-2.16	5.027	Q	R	0	0	0
N01	3.67	24.84	43.21	5.027	N	R	0	1	1
N02	7.14	24.47	43.36	5.027	N	R	0	1	1
N05	17.58	23.36	43.83	5.027	N	R	0	1	1
N06	21.05	22.99	43.98	5.027	N	R	0	1	1
N07	24.53	22.62	44.13	5.027	N	R	0	1	1
N08	28.01	22.25	44.29	5.027	N	R	0	1	1
X02	9.5	33.18	15.17	5.027	X	R	0	1	1
X03	10.46	33.95	18.45	5.027	X	R	0	1	1
X09	16.21	38.58	38.11	5.027	X	R	0	0	1
X10	17.17	39.35	41.38	5.027	X	R	0	0	1
X11	18.12	40.12	44.66	5.027	X	R	0	0	1
R02	47.15	6.61	1.73999999999999	5.027	R	R	0	0	1
R03	50.46	6.34	2.84999999999999	5.027	R	R	0	0	1
R04	53.76	6.08	3.95999999999999	5.027	R	R	0	0	1
R05	57.07	5.81	5.08	5.027	R	R	0	0	1
M02	5.48999999999999	3.05	43.84	5.027	M	R	0	0	1
M03	8.97	3.16	44.17	5.027	M	R	0	0	1
M04	12.45	3.27	44.5	5.027	M	R	0	0	1
M08	26.38	3.70999999999999	45.82	5.027	M	R	0	0	1
M09	29.87	3.81999999999999	46.15	5.027	M	R	0	0	1
Z01	2.08	2.18000000000001	18.95	5.027	Z	R	0	0	0
Z02	4.45	2.54000000000001	21.5	5.027	Z	R	0	0	0
Z03	6.81	2.91	24.06	5.027	Z	R	0	0	0
Z04	9.18000000000001	3.27	26.61	5.027	Z	R	0	0	0
Z08	18.65	4.72	36.82	5.027	Z	R	0	0	0
Z09	21.01	5.09	39.37	5.027	Z	R	0	0	0
S05	36.47	-13.51	13.34	5.027	S	R	0	0	0
S06	39.71	-12.97	14.56	5.027	S	R	0	0	0
S07	42.94	-12.42	15.78	5.027	S	R	0	0	0
K03	10.83	-16.38	44.14	5.027	K	R	0	0	0
K04	14.23	-17.03	44.69	5.027	K	R	0	0	0
K08	27.82	-19.62	46.85	5.027	K	R	0	0	0
K09	31.21	-20.27	47.4	5.027	K	R	0	0	0
Y04	33.41	12.62	-11.98	5.027	Y	R	0	0	0
Y05	33.61	10.59	-9.14	5.027	Y	R	0	0	0
Y12	34.99	-3.63999999999999	10.75	5.027	Y	R	0	0	0
Y13	35.19	-5.68000000000001	13.6	5.027	Y	R	0	0	0
L05	46.31	20.14	-24.09	5.027	L	R	0	0	0
L06	49.36	19.86	-22.39	5.027	L	R	0	0	0
A11	53.22	8.62	-24.31	5.027	A	R	0	0	0
A12	56.65	8.08	-23.94	5.027	A	R	0	0	0
B08	47.16	-4.44	-24.93	5.027	B	R	0	0	0
B09	50.62	-4.74000000000001	-24.46	5.027	B	R	0	0	0
