name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
Q01	28.62936	22.25064	3.54000000000001	5.027	Q	R	1	0	1
Q02	32.07936	22.56064	4.03	5.027	Q	R	0	0	1
Q04	38.97936	23.18064	5.01000000000001	5.027	Q	R	0	0	1
Q05	42.42936	23.49064	5.51000000000001	5.027	Q	R	0	0	1
Q07	49.33936	24.12064	6.48999999999999	5.027	Q	R	0	0	1
Q08	52.78936	24.43064	6.98	5.027	Q	R	0	0	1
R01	30.60936	-7.88935999999998	6.78	5.027	R	R	0	0	1
R02	34.05936	-7.30936	6.98999999999999	5.027	R	R	0	0	1
R03	37.49936	-6.72935999999999	7.2	5.027	R	R	0	0	1
R04	40.94936	-6.14936	7.41	5.027	R	R	0	0	1
R05	44.38936	-5.56935999999999	7.62	5.027	R	R	0	1	1
R06	47.83936	-4.98936	7.83	5.027	R	R	0	1	1
R08	54.72936	-3.83936	8.25	5.027	R	R	0	1	1
R09	58.16936	-3.25935999999999	8.45999999999999	5.027	R	R	0	1	1
K05	32.04936	16.93064	24.6	5.027	K	R	0	1	1
K06	35.54936	17.11064	24.54	5.027	K	R	0	1	1
K07	39.03936	17.28064	24.49	5.027	K	R	0	1	1
S03	29.63936	-31.51936	5.95999999999999	5.027	S	R	1	0	0
S04	32.71936	-32.76936	7.06	5.027	S	R	1	0	0
S09	48.09936	-39.04936	12.53	5.027	S	R	0	0	0
S10	51.17936	-40.30936	13.63	5.027	S	R	0	0	0
I01	34.99936	12.61064	-13.61	5.027	I	R	0	0	0
I02	35.07936	12.15064	-10.14	5.027	I	R	0	0	0
I03	35.15936	11.68064	-6.67	5.027	I	R	0	0	0
I04	35.24936	11.22064	-3.2	5.027	I	R	0	0	0
I07	35.49936	9.83064	7.2	5.027	I	R	0	0	1
I08	35.57936	9.37064000000001	10.67	5.027	I	R	1	0	1
I09	35.65936	8.90064000000001	14.14	5.027	I	R	1	1	1
I10	35.74936	8.44064	17.61	5.027	I	R	1	1	1
I12	35.90936	7.51064000000001	24.54	5.027	I	R	0	0	1
I13	35.99936	7.05064	28.01	5.027	I	R	0	0	1
I16	36.23936	5.66064	38.41	5.027	I	R	0	0	1
I17	36.32936	5.19064	41.88	5.027	I	R	0	0	1
M02	9.01936000000001	-4.78935999999999	41.5	5.027	M	R	1	1	1
M03	12.41936	-5.59935999999999	41.72	5.027	M	R	0	1	1
M05	19.20936	-7.22935999999999	42.17	5.027	M	R	0	1	1
M06	22.60936	-8.03935999999999	42.4	5.027	M	R	0	1	1
M07	26.00936	-8.84935999999999	42.62	5.027	M	R	0	1	1
M08	29.39936	-9.65935999999999	42.84	5.027	M	R	0	1	1
M09	32.79936	-10.46936	43.07	5.027	M	R	0	1	1
M10	36.19936	-11.27936	43.29	5.027	M	R	0	1	1
Y02	6.87935999999999	-14.93936	20.47	5.027	Y	R	1	0	0
Y03	8.76936000000001	-14.90936	23.41	5.027	Y	R	0	0	0
Y10	22.02936	-14.74936	44.01	5.027	Y	R	0	1	1
Y11	23.92936	-14.72936	46.95	5.027	Y	R	0	1	1
N01	2.51936000000001	26.55064	38.62	5.027	N	R	0	0	0
N02	5.83936	25.45064	38.75	5.027	N	R	1	0	0
N11	35.71936	15.53064	39.9	5.027	N	R	0	0	0
N12	39.03936	14.43064	40.03	5.027	N	R	0	0	0
X01	2.09935999999999	11.66064	22.05	5.027	X	R	1	0	0
X02	2.65935999999999	11.89064	25.5	5.027	X	R	1	0	0
X04	3.77936	12.35064	32.39	5.027	X	R	0	0	1
X05	4.33936	12.58064	35.84	5.027	X	R	0	0	1
X11	7.71935999999999	13.97064	56.52	5.027	X	R	0	0	0
X12	8.27936	14.20064	59.97	5.027	X	R	0	0	0
H07	37.90936	45.55064	17.43	5.027	H	R	0	0	0
H08	41.07936	45.81064	18.88	5.027	H	R	0	0	0
T04	34.11936	-16.19936	14.35	5.027	T	R	1	0	0
T05	37.31936	-17.10936	15.44	5.027	T	R	0	0	0
T06	40.50936	-18.02936	16.54	5.027	T	R	0	0	0
T07	43.70936	-18.93936	17.63	5.027	T	R	0	0	0
T08	46.90936	-19.85936	18.73	5.027	T	R	0	0	0
T09	50.09936	-20.76936	19.83	5.027	T	R	0	0	0
T10	53.29936	-21.68936	20.92	5.027	T	R	0	0	0
P03	11.84936	-42.91936	18.81	5.027	P	R	1	0	0
P04	15.17936	-43.56936	19.63	5.027	P	R	1	0	0
P09	31.86936	-46.85936	23.76	5.027	P	R	0	0	0
P10	35.20936	-47.51936	24.59	5.027	P	R	0	0	0
Z01	5.64936	-29.65936	9.84	5.027	Z	R	0	0	0
Z02	6.76936000000001	-31.05936	12.85	5.027	Z	R	0	0	0
Z11	16.79936	-43.66936	39.92	5.027	Z	R	0	0	0
Z12	17.90936	-45.06936	42.93	5.027	Z	R	0	0	0
