name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
H'01	-5.341308	12.180064	19.95	5.027	H'	L	0	0	0
H'02	-10.321308	12.530064	19.69	5.027	H'	L	1	0	0
H'07	-35.231308	14.300064	18.39	5.027	H'	L	0	0	0
H'08	-40.211308	14.650064	18.13	5.027	H'	L	0	0	0
H'09	-45.191308	15.000064	17.87	5.027	H'	L	0	0	0
H'10	-50.171308	15.360064	17.61	5.027	H'	L	0	0	0
H'11	-55.151308	15.710064	17.35	5.027	H'	L	0	0	0
H'12	-60.131308	16.060064	17.09	5.027	H'	L	0	0	0
L'01	-0.541308000000001	32.170064	0.0799999999999983	5.027	L'	R	0	0	0
L'02	-3.731308	31.720064	3.90000000000001	5.027	L'	L	0	0	0
L'03	-6.931308	31.280064	7.70999999999999	5.027	L'	L	0	0	0
L'04	-10.131308	30.840064	11.53	5.027	L'	L	0	0	0
L'05	-13.321308	30.400064	15.35	5.027	L'	L	0	0	0
L'06	-16.521308	29.950064	19.17	5.027	L'	L	0	0	0
L'07	-19.721308	29.510064	22.99	5.027	L'	L	1	0	0
L'08	-22.911308	29.070064	26.81	5.027	L'	L	1	0	0
L'09	-26.111308	28.630064	30.63	5.027	L'	L	0	0	0
L'10	-29.311308	28.180064	34.45	5.027	L'	L	0	0	0
L'11	-32.501308	27.740064	38.27	5.027	L'	L	0	0	0
O'01	-8.16130799999999	36.370064	-4.28	5.027	O'	L	0	0	0
O'02	-13.011308	36.140064	-3.08	5.027	O'	L	0	0	0
O'03	-17.861308	35.920064	-1.88	5.027	O'	L	0	0	0
O'04	-22.711308	35.700064	-0.680000000000007	5.027	O'	L	1	0	0
O'05	-27.561308	35.470064	0.510000000000005	5.027	O'	L	0	0	0
O'06	-32.401308	35.250064	1.70999999999999	5.027	O'	L	0	0	0
O'07	-37.251308	35.020064	2.91	5.027	O'	L	1	0	0
O'08	-42.101308	34.800064	4.11	5.027	O'	L	0	0	0
O'09	-46.951308	34.580064	5.31	5.027	O'	L	0	0	0
O'10	-51.801308	34.350064	6.51000000000001	5.027	O'	L	0	0	0
O'11	-56.651308	34.130064	7.70999999999999	5.027	O'	L	0	0	0
Q'01	-32.231308	-9.259936	8.15000000000001	5.027	Q'	L	0	0	0
Q'02	-37.021308	-9.67993600000001	9.51000000000001	5.027	Q'	L	0	0	0
Q'03	-41.821308	-10.089936	10.87	5.027	Q'	L	0	0	0
Q'04	-46.611308	-10.499936	12.23	5.027	Q'	L	0	0	0
Q'05	-51.411308	-10.909936	13.59	5.027	Q'	L	0	0	0
Q'06	-56.201308	-11.329936	14.94	5.027	Q'	L	0	0	0
Q'07	-61.001308	-11.739936	16.3	5.027	Q'	L	0	0	0
Q'08	-65.791308	-12.149936	17.66	5.027	Q'	L	0	0	0
R'01	-31.531308	-16.229936	-4.59999999999999	5.027	R'	L	0	0	0
R'02	-35.881308	-17.049936	-2.27	5.027	R'	L	0	0	0
R'03	-40.221308	-17.879936	0.0699999999999932	5.027	R'	L	0	0	0
R'04	-44.561308	-18.709936	2.40000000000001	5.027	R'	L	0	0	0
R'05	-48.911308	-19.529936	4.73999999999999	5.027	R'	L	0	0	0
R'06	-53.251308	-20.359936	7.08	5.027	R'	L	0	0	0
R'07	-57.591308	-21.189936	9.41	5.027	R'	L	0	0	0
R'08	-61.931308	-22.019936	11.75	5.027	R'	L	0	0	0
R'09	-66.281308	-22.839936	14.08	5.027	R'	L	0	0	0
X'01	-35.511308	4.33006399999999	2.84999999999999	5.027	X'	L	0	1	1
X'02	-34.991308	4.760064	6.28	5.027	X'	L	0	1	1
X'03	-34.481308	5.19006399999999	9.72	5.027	X'	L	0	1	1
X'04	-33.961308	5.620064	13.15	5.027	X'	L	0	1	1
X'05	-33.451308	6.05006399999999	16.59	5.027	X'	L	1	1	1
X'09	-31.391308	7.77006399999999	30.33	5.027	X'	L	0	0	0
X'10	-30.871308	8.19006399999999	33.77	5.027	X'	L	0	0	0
X'12	-29.841308	9.05006399999999	40.64	5.027	X'	L	0	0	0
X'13	-29.321308	9.480064	44.07	5.027	X'	L	0	0	0
Y'01	-43.451308	-6.14993600000001	-10.3	5.027	Y'	L	0	0	0
Y'02	-42.851308	-7.64993600000001	-7.19	5.027	Y'	L	0	0	1
Y'03	-42.251308	-9.14993600000001	-4.09	5.027	Y'	L	0	0	1
Y'04	-41.661308	-10.639936	-0.980000000000004	5.027	Y'	L	0	0	1
Y'05	-41.061308	-12.139936	2.13	5.027	Y'	L	0	0	1
Y'06	-40.471308	-13.639936	5.23	5.027	Y'	L	0	0	1
Y'07	-39.871308	-15.139936	8.34	5.027	Y'	L	0	0	1
Y'08	-39.271308	-16.639936	11.45	5.027	Y'	L	0	0	1
Y'09	-38.681308	-18.129936	14.55	5.027	Y'	L	0	0	0
C'01	-29.481308	-23.909936	-23.16	5.027	C'	L	0	0	0
C'02	-34.461308	-24.249936	-23.51	5.027	C'	L	0	0	0
C'03	-39.441308	-24.599936	-23.86	5.027	C'	L	0	0	0
C'04	-44.411308	-24.949936	-24.22	5.027	C'	L	0	0	0
C'05	-49.391308	-25.289936	-24.57	5.027	C'	L	1	0	0
C'07	-59.341308	-25.979936	-25.27	5.027	C'	L	0	0	0
C'08	-64.311308	-26.329936	-25.62	5.027	C'	L	0	0	0
C'09	-69.291308	-26.679936	-25.97	5.027	C'	L	0	0	0
F'01	-32.831308	-41.369936	-29.06	5.027	F'	L	0	0	0
F'02	-37.741308	-42.239936	-28.61	5.027	F'	L	1	0	0
F'03	-42.641308	-43.099936	-28.15	5.027	F'	L	1	0	0
F'04	-47.541308	-43.969936	-27.7	5.027	F'	L	1	0	0
F'05	-52.451308	-44.829936	-27.25	5.027	F'	L	0	0	0
F'06	-57.351308	-45.699936	-26.8	5.027	F'	L	0	0	0
F'07	-62.251308	-46.559936	-26.35	5.027	F'	L	0	0	0
F'08	-67.161308	-47.429936	-25.9	5.027	F'	L	0	0	0
