name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
D'01	-5.012552	37.020064	8.889904	5.027	D'	L	0	0	0
D'02	-8.492552	37.190064	9.17990400000001	5.027	D'	L	0	0	0
D'03	-11.972552	37.350064	9.469904	5.027	D'	L	0	0	0
D'04	-15.462552	37.520064	9.75990400000001	5.027	D'	L	1	0	0
D'10	-36.362552	38.510064	11.509904	5.027	D'	L	1	0	0
D'11	-39.852552	38.670064	11.799904	5.027	D'	L	1	0	0
D'12	-43.332552	38.840064	12.099904	5.027	D'	L	0	0	0
D'13	-46.812552	39.000064	12.389904	5.027	D'	L	0	0	0
Q'01	-31.412552	23.080064	12.979904	5.027	Q'	L	0	0	0
Q'02	-34.892552	23.400064	12.729904	5.027	Q'	L	0	0	0
Q'03	-38.362552	23.710064	12.489904	5.027	Q'	L	1	0	0
Q'06	-48.802552	24.660064	11.749904	5.027	Q'	L	0	0	0
Q'07	-52.272552	24.970064	11.499904	5.027	Q'	L	0	0	0
Q'08	-55.752552	25.290064	11.259904	5.027	Q'	L	0	0	0
Q'09	-59.232552	25.600064	11.009904	5.027	Q'	L	0	0	0
X'01	-36.172552	15.640064	-5.120096	5.027	X'	L	0	0	1
X'02	-35.972552	18.300064	-2.860096	5.027	X'	L	0	0	1
X'03	-35.782552	20.960064	-0.590096000000003	5.027	X'	L	0	0	1
X'04	-35.582552	23.630064	1.669904	5.027	X'	L	0	0	1
X'05	-35.382552	26.290064	3.92990400000001	5.027	X'	L	0	0	1
X'06	-35.192552	28.950064	6.189904	5.027	X'	L	0	0	1
X'07	-34.992552	31.620064	8.449904	5.027	X'	L	0	0	1
X'08	-34.802552	34.280064	10.719904	5.027	X'	L	0	0	1
X'12	-34.012552	44.940064	19.759904	5.027	X'	L	0	0	1
X'13	-33.822552	47.600064	22.029904	5.027	X'	L	0	0	1
X'14	-33.622552	50.260064	24.289904	5.027	X'	L	0	0	1
X'15	-33.422552	52.930064	26.549904	5.027	X'	L	0	0	1
A'01	-7.55255199999999	30.180064	32.639904	5.027	A'	L	0	1	1
A'02	-8.742552	30.240064	35.929904	5.027	A'	L	0	1	1
A'03	-9.94255199999999	30.300064	39.219904	5.027	A'	L	0	0	0
A'04	-11.132552	30.360064	42.499904	5.027	A'	L	1	0	0
A'05	-12.322552	30.420064	45.789904	5.027	A'	L	1	0	0
A'06	-13.522552	30.490064	49.079904	5.027	A'	L	0	0	0
A'07	-14.712552	30.550064	52.369904	5.027	A'	L	0	0	0
A'08	-15.912552	30.610064	55.659904	5.027	A'	L	0	0	0
R'01	-30.792552	0.870063999999999	11.819904	5.027	R'	L	1	0	0
R'02	-34.232552	0.980063999999999	12.439904	5.027	R'	L	0	0	0
R'03	-37.682552	1.08006399999999	13.059904	5.027	R'	L	0	0	0
R'04	-41.122552	1.19006399999999	13.679904	5.027	R'	L	0	0	0
R'05	-44.562552	1.290064	14.299904	5.027	R'	L	0	0	0
R'06	-48.002552	1.400064	14.919904	5.027	R'	L	0	0	0
R'07	-51.452552	1.510064	15.549904	5.027	R'	L	0	0	0
R'08	-54.892552	1.61006399999999	16.169904	5.027	R'	L	0	0	0
R'09	-58.332552	1.72006399999999	16.789904	5.027	R'	L	0	0	0
R'10	-61.772552	1.82006399999999	17.409904	5.027	R'	L	0	0	0
R'11	-65.222552	1.930064	18.029904	5.027	R'	L	0	0	0
K'01	-1.94255199999999	24.280064	39.609904	5.027	K'	L	0	0	1
K'02	-4.94255199999999	24.250064	41.419904	5.027	K'	L	0	0	1
K'03	-7.932552	24.230064	43.229904	5.027	K'	L	0	0	1
K'04	-10.932552	24.210064	45.039904	5.027	K'	L	0	0	1
K'05	-13.922552	24.190064	46.849904	5.027	K'	L	1	0	1
K'06	-16.922552	24.170064	48.669904	5.027	K'	L	0	0	1
K'07	-19.912552	24.150064	50.479904	5.027	K'	L	0	0	1
K'08	-22.912552	24.130064	52.289904	5.027	K'	L	0	0	0
K'09	-25.902552	24.100064	54.099904	5.027	K'	L	0	0	0
B'01	-8.05255199999999	14.350064	34.899904	5.027	B'	L	0	1	1
B'02	-8.902552	14.770064	38.269904	5.027	B'	L	0	1	1
B'03	-9.762552	15.180064	41.629904	5.027	B'	L	0	0	1
B'04	-10.622552	15.600064	44.999904	5.027	B'	L	0	0	1
B'05	-11.472552	16.010064	48.369904	5.027	B'	L	0	0	1
B'06	-12.332552	16.430064	51.739904	5.027	B'	L	0	0	1
B'07	-13.192552	16.850064	55.109904	5.027	B'	L	0	0	1
B'08	-14.052552	17.260064	58.469904	5.027	B'	L	0	0	1
B'09	-14.902552	17.680064	61.839904	5.027	B'	L	0	0	1
L'01	-5.322552	0.940063999999992	45.709904	5.027	L'	L	0	0	0
L'02	-8.64255199999999	2.02006399999999	45.479904	5.027	L'	L	0	0	0
L'03	-11.962552	3.11006399999999	45.239904	5.027	L'	L	1	0	0
L'04	-15.282552	4.19006399999999	44.999904	5.027	L'	L	1	0	0
L'06	-21.922552	6.35006399999999	44.529904	5.027	L'	L	1	0	0
L'07	-25.242552	7.430064	44.289904	5.027	L'	L	0	0	0
L'08	-28.562552	8.52006399999999	44.049904	5.027	L'	L	0	0	0
L'11	-38.522552	11.760064	43.339904	5.027	L'	L	0	0	0
L'12	-41.842552	12.840064	43.099904	5.027	L'	L	0	0	0
L'13	-45.162552	13.920064	42.859904	5.027	L'	L	0	0	0
L'14	-48.482552	15.010064	42.629904	5.027	L'	L	0	0	0
C'01	-5.182552	-2.78993600000001	25.969904	5.027	C'	L	0	0	0
C'02	-6.66255199999999	-2.959936	29.139904	5.027	C'	L	0	0	0
C'03	-8.14255199999999	-3.13993599999999	32.309904	5.027	C'	L	0	0	0
C'04	-9.622552	-3.30993600000001	35.469904	5.027	C'	L	0	0	0
C'05	-11.092552	-3.479936	38.639904	5.027	C'	L	0	0	0
C'06	-12.572552	-3.64993600000001	41.809904	5.027	C'	L	0	0	0
C'07	-14.052552	-3.819936	44.979904	5.027	C'	L	1	0	0
C'08	-15.532552	-3.98993600000001	48.149904	5.027	C'	L	0	0	0
C'09	-17.002552	-4.159936	51.319904	5.027	C'	L	0	0	0
C'10	-18.482552	-4.33993600000001	54.479904	5.027	C'	L	0	0	0
C'11	-19.962552	-4.509936	57.649904	5.027	C'	L	0	0	0
C'12	-21.432552	-4.67993600000001	60.819904	5.027	C'	L	0	0	0
Y'01	-40.572552	23.410064	-1.860096	5.027	Y'	L	0	0	1
Y'02	-39.972552	22.440064	1.449904	5.027	Y'	L	0	0	1
Y'03	-39.362552	21.470064	4.75990400000001	5.027	Y'	L	0	0	1
Y'04	-38.762552	20.500064	8.06990399999999	5.027	Y'	L	0	0	1
Y'05	-38.152552	19.530064	11.369904	5.027	Y'	L	0	0	1
Y'06	-37.552552	18.560064	14.679904	5.027	Y'	L	1	0	0
Y'07	-36.952552	17.590064	17.989904	5.027	Y'	L	1	0	0
Y'08	-36.342552	16.620064	21.299904	5.027	Y'	L	0	0	0
Y'14	-32.722552	10.790064	41.149904	5.027	Y'	L	0	0	0
Y'15	-32.112552	9.82006399999999	44.449904	5.027	Y'	L	0	0	0
Y'16	-31.512552	8.85006399999999	47.759904	5.027	Y'	L	0	0	0
Y'17	-30.912552	7.88006399999999	51.069904	5.027	Y'	L	0	0	0
Y'18	-30.302552	6.91006399999999	54.379904	5.027	Y'	L	0	0	0
M'01	-2.89255199999999	-10.579936	49.329904	5.027	M'	L	0	0	0
M'02	-6.39255199999999	-10.549936	49.399904	5.027	M'	L	0	0	0
M'03	-9.89255199999999	-10.519936	49.469904	5.027	M'	L	0	0	0
M'04	-13.392552	-10.489936	49.539904	5.027	M'	L	1	0	0
M'05	-16.882552	-10.459936	49.599904	5.027	M'	L	1	0	0
M'07	-23.882552	-10.409936	49.739904	5.027	M'	L	1	0	0
